Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
373|CNTY24002|Tổ chức và phôi thai học|Trần Thị Thu Hồng (2013), Tổ chức phôi thai học, NXB Đại Học Huế, TTTT-TV.|Tổ chức phôi thai học|Trần Thị Thu Hồng|2013|NXB Đại Học Huế|bb|Đã có|TTTT-TV|Giáo trình tổ chức phôi thai học
374|CNTY24002|Tổ chức và phôi thai học|Bearden, H.J., and Fuquay, J. W., 1997. Applied animal reproduction. Fourth edition. Printed in the United States of America.|Applied animal reproduction. Fourth edition|Bearden, H.J., and Fuquay, J. W., |1997|Printed in the United States of America.|tk|Đổi tài liệu|Không có|
375|CNTY24002|Tổ chức và phôi thai học|Luiz, C.J., and Jose, C., 2005. Basic histology. Eleventh edition. Copyright 2005 by The McGraw-Hill Companies. Printed in the United States of America.|Basic histology. Eleventh edition. Copyright 2005 by The McGraw-Hill Companies|Luiz, C.J., and Jose, C.|2005|Printed in the United States of America.|tk|Đổi tài liệu|Không có|
376|CNTY24002|Tổ chức và phôi thai học|William, J.B., Linda, M.B., 2000. Color atlas of veterinary histology. Second edition. Copyright 2000 Lippincott Williams and Wilkins. 351 West Camden Street. Baltimore, Maryland 21201-2436. Printed in the United States of America.|Color atlas of veterinary histology. Second edition. Copyright 2000 Lippincott Williams and Wilkins. 351 West Camden Street. Baltimore, Maryland 21201-2436.|William, J.B., Linda, M.B.|2000|Printed in the United States of America.|tk|Đổi tài liệu|Không có|
377|CNTY24702|Quản lý dịch bệnh trang trại chăn nuôi|Trần Quang Vui, Bài giảng Quản lý dịch bệnh trang trại chăn nuôi. Bộ môn KSTN.|Bài giảng Quản lý dịch bệnh trang trại chăn nuôi.|Trần Quang Vui||Bộ môn KSTN.  |bb|Đang bổ sung|Khoa/ BM|
378|CNTY24702|Quản lý dịch bệnh trang trại chăn nuôi|Nguyễn Bá Hiên, Huỳnh Thị Mỹ Lệ (2013), Bệnh truyền nhiễm của động vật nuôi và biện pháp khống chế, NXB Nông nghiệp. Bộ môn KSTN.|Bệnh truyền nhiễm của động vật nuôi và biện pháp khống chế|Nguyễn Bá Hiên, Huỳnh Thị Mỹ Lệ |2013| NXB Nông nghiệp|tk|Đã có|TTTT-TV|
379|CNTY24702|Quản lý dịch bệnh trang trại chăn nuôi|Phạm Hồng Sơn (2006), Giáo trình Bệnh truyền nhiễm thú y (phần đại cương), NXB Nông nghiệp. TT TT-TV.|Giáo trình Bệnh truyền nhiễm thú y (phần đại cương)|Phạm Hồng Sơn|2006|NXB Nông nghiệp.|tk|Đã có|TTTT-TV|
380|CNTY24802|Quản lý trang trại chăn nuôi|Bài giảng của giáo viên|Bài giảng của giáo viên||||ht|Đang bổ sung|Khoa/ BM|
381|CNTY24802|Quản lý trang trại chăn nuôi|STOAS (1998), The farm as a commercial enterprise|||||ht|Đổi tài liệu|Không có|
382|CNTY25103|Chẩn đoán lâm sàng thú y|Vũ Văn Hải, Bài giảng chẩn đoán lâm sàng thú y, 2014. Khoa CNTY.|Bài giảng chẩn đoán lâm sàng thú y,|Vũ Văn Hải|2014| Khoa CNTY.|bb|Đang bổ sung|Khoa/ BM|
383|CNTY25103|Chẩn đoán lâm sàng thú y|Jackson, Peter, and Peter Cockcroft. Clinical examination of farm animals. John Wiley & Sons, 2008. Khoa CNTY.|Clinical examination of farm animals.|Jackson, Peter, and Peter Cockcroft. |2008|John Wiley & Sons|tk|Đặt mua|Không có|
384|CNTY25103|Chẩn đoán lâm sàng thú y|Radostits, Otto M., Ian G. Mayhew, and Doreen Marie Houston. Veterinary clinical examination and diagnosis. WB Saunders, 2000. Khoa CNTY.|Veterinary clinical examination and diagnosis.|Radostits, Otto M., Ian G. Mayhew, and Doreen Marie Houston.|2000|WB Saunders, |tk|Đổi tài liệu|Không có|
385|CNTY25204|Chăn nuôi chuyên khoa 1|Giáo trình Chăn nuôi gia cầm (2006), Nguyễn Đức Hưng, NXB Đại học Huế;|Giáo trình Chăn nuôi gia cầm|Nguyễn Đức Hưng,|2006|NXB Đại học Huế|bb|Đã có|TTTT-TV|
386|CNTY25204|Chăn nuôi chuyên khoa 1|Giáo trình chăn nuôi lợn (2005) Nguyễn Quang Linh, Hoàng Nghĩa Duyệt, Phùng Thăng Long. NXB Nông nghiệp, 2005|Giáo trình chăn nuôi lợn| Nguyễn Quang Linh, Hoàng Nghĩa Duyệt, Phùng Thăng Long.|2005|NXB Nông nghiệp,|bb|Đã có|TTTT-TV|Tên sách :Giáo trình kỹ thuật chăn nuôi lợn
387|CNTY25204|Chăn nuôi chuyên khoa 1|Giáo trình Chăn nuôi lợn (2009), Vũ Đình Tôn, NXB NN-PTNT Hà Nội|Giáo trình Chăn nuôi lợn| Vũ Đình Tôn,|2009|NXB NN-PTNT Hà Nội|bb|Đặt mua|Không có|
388|CNTY25204|Chăn nuôi chuyên khoa 1|Atlat giống vật nuôi.|Atlat giống vật nuôi.||||tk|Đặt mua|Không có|
389|CNTY25204|Chăn nuôi chuyên khoa 1|Con lợn ở Việt Nam, Nguyễn Thiện, Trần Đình Miên, Võ Trọng Hốt, NXB Nông nghiệp 2005.|Con lợn ở Việt Nam|Nguyễn Thiện, Trần Đình Miên, Võ Trọng Hốt,|2005|NXB Nông nghiệp|tk|Đổi tài liệu|Không có|
390|CNTY25204|Chăn nuôi chuyên khoa 1|Tạp chí chuyên ngành chăn nuôi (Tạp chí NN-PTNT, tạp chí khoa học Đại học Huế- định kỳ);|Tạp chí chuyên ngành chăn nuôi (Tạp chí NN-PTNT, tạp chí khoa học Đại học Huế- định kỳ);||||tk|Đã có|TTTT-TV|
391|CNTY25303|Chăn nuôi chuyên khoa 2|Nguyễn Xuân Bả; Nguyễn Tiến Vởn (2016). Bài giảng chăn nuôi trâu bò.|Bài giảng chăn nuôi trâu bò.|Nguyễn Xuân Bả; Nguyễn Tiến Vởn|2016||bb|Đang bổ sung|Khoa/ BM|
392|CNTY25303|Chăn nuôi chuyên khoa 2|Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Nguyễn Xuân Trạch, Vũ Chí Cương, Nguyễn Hữu Văn. Dinh dưỡng và thức ăn cho bò. Nhà xuất bản Nông nghiệp, Hà Nội. (2008)|Dinh dưỡng và thức ăn cho bò|    Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Nguyễn Xuân Trạch, Vũ Chí Cương, Nguyễn Hữu Văn|2008| Nhà xuất bản Nông nghiệp, Hà Nội. |bb|Đã có|TTTT-TV|
393|CNTY25303|Chăn nuôi chuyên khoa 2|Nguyễn Xuân Trạch và cộng sự. Giáo trình chăn nuôi trâu bò. Nhà xuất bản Nông nghiệp, Hà Nội. (2006)|Giáo trình chăn nuôi trâu bò.|  Nguyễn Xuân Trạch và cộng sự|2006|Nhà xuất bản Nông nghiệp, Hà Nội. |bb|Đã có|TTTT-TV|
394|CNTY25303|Chăn nuôi chuyên khoa 2|Preston, T.R., Leng, R.A. Các hệ thống chăn nuôi gia súc nhai lại dựa trên nguồn tài nguyên sẵn có ở vùng nhiệt đới và á nhiệt đới. Nhà xuất bản Nông nghiệp, Hà Nội. (1991).|Các hệ thống chăn nuôi gia súc nhai lại dựa trên nguồn tài nguyên sẵn có ở vùng nhiệt đới và á nhiệt đới|Preston, T.R., Leng, R.A.|1991|Nhà xuất bản Nông nghiệp, Hà Nội.|tk|Đã có|TTTT-TV|
395|CNTY25703|Di truyền và chọn giống vật nuôi|Nguyễn Đức Hưng, Nguyễn Minh Hoàn, Lê Đình Phùng (2006), Giáo trình chọn giống và nhân giống vật nuôi, Nhà xuất bản Đại học Huế, ĐHH, TT TTTV (bản điện tử trên mạng internet.|Giáo trình chọn giống và nhân giống vật nuôi,|Nguyễn Đức Hưng, Nguyễn Minh Hoàn, Lê Đình Phùng|2006|Nhà xuất bản Đại học Huế, ĐHH,|bb|Đã có|TTTT-TV|
396|CNTY25703|Di truyền và chọn giống vật nuôi|Phạm Khánh Từ (2014), Giáo trình Di truyền động vật, Nhà xuất bản Đại học Huế, ĐHH, TT TTTV|Giáo trình Di truyền động vật|Phạm Khánh Từ|2014| Nhà xuất bản Đại học Huế, ĐHH,|bb|Đã có|TTTT-TV|
397|CNTY25703|Di truyền và chọn giống vật nuôi|Gerald Wiener (1994), Animal Breeding (1994), Centure for Tropical Veterinary Medicine University of Edinburg, Khoa CNTY, BMDT.|Animal Breeding|Gerald Wiener|1994|Centure for Tropical Veterinary Medicine University of Edinburg, Khoa CNTY, BMDT.|tk|Phải nộp hoặc đổi tài liệu |Khoa/ BM|
398|CNTY25703|Di truyền và chọn giống vật nuôi|Trần Đình Miên (chủ biên), Nguyễn Hải Quân, Vũ Kính Trực (1975), Chọn giống và nhân giống gia súc, Nhà xuất bản Nông thôn, Hà Nội, TT TTTV|Chọn giống và nhân giống gia súc,|Trần Đình Miên (chủ biên), Nguyễn Hải Quân, Vũ Kính Trực|1975| Nhà xuất bản Nông thôn, Hà Nội, |tk|Đã có|TTTT-TV|TTTT-TV-1977
399|CNTY25703|Di truyền và chọn giống vật nuôi|Trần Đình Miên, Nhuyễn Kim Đường, Nguyễn Tiến Văn (1992), Chọn giống và nhân giống gia súc, Nhà xuất bản Nông nghiệp, Hà Nôi, TT TTTV|Chọn giống và nhân giống gia súc,|Trần Đình Miên, Nhuyễn Kim Đường, Nguyễn Tiến Văn |1992|Nhà xuất bản Nông nghiệp, Hà Nôi, |tk|kiểm tra|kiểm tra|"Chọn giống và nhân giống gia súc / Nguyễn Kim Đường, Lê Viết Ly. - Hà Nội : Nông nghiệp, 1992
2. Giáo trình chọn giống và nhân giống gia súc / Nguyễn Hải Quân (chủ biên), Đặng Vũ Bình, Đinh Văn Chỉnh, Ngô Đoan Trinh.. - Hà Nội : Nxb. Trường đại học Nông nghiệp I hà Nội, 1995."
400|CNTY25804|Dinh dưỡng động vật|Lê Đức Ngoan (2002). Giáo trình dinh dưỡng gia súc. Nhà xuất bản Nông nghiệp, Hà Nội. 2002.|Giáo trình dinh dưỡng gia súc.|Lê Đức Ngoan|2002|Nhà xuất bản Nông nghiệp, Hà Nội.|bb|Đã có|TTTT-TV|
401|CNTY25804|Dinh dưỡng động vật|Lê Đức Ngoan (cb), Dư Thanh Hằng (2014). Giáo trình dinh dưỡng vật nuôi. Nhà xuất bản Đại học Huế, 2014.|Giáo trình dinh dưỡng vật nuôi.|Lê Đức Ngoan (cb), Dư Thanh Hằng|2014|Nhà xuất bản Đại học Huế|bb|Đã có|TTTT-TV|
402|CNTY25804|Dinh dưỡng động vật|Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Vũ Chí Cương, Nguyễn Xuân Trạch, Nguyễn Hữu Văn (2008). Dinh dưỡng và thức ăn cho bò. Nhà XBNN Hà Nội. 293 trang.|Dinh dưỡng và thức ăn cho bò|Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Vũ Chí Cương, Nguyễn Xuân Trạch, Nguyễn Hữu Văn|2008|XBNN Hà Nội. 293 trang. |tk|Đã có|TTTT-TV|
403|CNTY25804|Dinh dưỡng động vật|Hồ Trung Thông et al. (2012). Giá trị dinh dưỡng của các nguyên liệu thức ăn phổ biến cho gia cầm. Nhà XB Đại học Huế.|Giá trị dinh dưỡng của các nguyên liệu thức ăn phổ biến cho gia cầm.|Hồ Trung Thông et al.|2012|Nhà XB Đại học Huế.|tk|Đã có|TTTT-TV|
404|CNTY25804|Dinh dưỡng động vật|Viện chăn nuôi (2002). Thành phần hoá học và giá trị dinh dưỡng thức ăn gia súc, gia cầm Việt Nam. Nhà xuất bản Nông nghiệp, 2002.|Thành phần hoá học và giá trị dinh dưỡng thức ăn gia súc, gia cầm Việt Nam|Viện chăn nuôi |2002| Nhà xuất bản Nông nghiệp|tk|Đổi tài liệu|Không có|
405|CNTY25904|Hóa sinh động vật|Hồ Trung Thông (Chủ biên), Lê Văn An, Nguyễn Thị Lộc, Đỗ Quý Hai, Cao Đăng Nguyên, 2006. Giáo trình Hóa sinh động vật. NXB Nông nghiệp, Hà Nội, 403 trang.|Giáo trình Hóa sinh động vật|Hồ Trung Thông (Chủ biên), Lê Văn An, Nguyễn Thị Lộc, Đỗ Quý Hai, Cao Đăng Nguyên|2006|NXB Nông nghiệp, Hà Nội, 403 trang.|bb|Đã có|TTTT-TV|
406|CNTY25904|Hóa sinh động vật|Hồ Trung Thông (Chủ biên), Võ Thị Minh Tâm, Nguyễn Thị Khánh Quỳnh, Thái Thị Thúy, Hồ Lê Quỳnh Châu, 2016. Giáo trình Thực hành Hóa sinh Động vật. NXB Đại học Huế.|Giáo trình Thực hành Hóa sinh Động vật.|Hồ Trung Thông (Chủ biên), Võ Thị Minh Tâm, Nguyễn Thị Khánh Quỳnh, Thái Thị Thúy, Hồ Lê Quỳnh Châu, |2016|NXB Đại học Huế.|bb|Đã có|TTTT-TV|
407|CNTY25904|Hóa sinh động vật|Trần Thị Lệ, Hồ Trung Thông (Chủ biên), Đinh Thị Hương Duyên, 2016. Giáo trình Hóa sinh Đại cương. Nhà Xuất Bản Đại học Huế.|Giáo trình Hóa sinh Đại cương.|Trần Thị Lệ, Hồ Trung Thông (Chủ biên), Đinh Thị Hương Duyên|2016|Nhà Xuất Bản Đại học Huế. |tk|Đã có|TTTT-TV|
408|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Các chuyên đề do Chuyên gia các Công ty CP, GF, Cargill, Emivest... cung cấp.|Các chuyên đề do Chuyên gia các Công ty CP, GF, Cargill, Emivest... cung cấp.||||bb|Ko bàn|đơn vị thực tập|
409|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Các tài liệu giảng viên cung cấp trong quá trình học;|Các tài liệu giảng viên cung cấp trong quá trình học;||||bb|Ko bàn|ko nêu cụ thể|
410|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Bùi Dũng Thể (CB), Mai Văn Xuân, Bùi Đức Tính, Phan Văn Hòa (2010). Giáo trình Hộ nông dân phương pháp lập kế hoạch sản xuất kinh doanh;|Giáo trình Hộ nông dân phương pháp lập kế hoạch sản xuất kinh doanh;|Bùi Dũng Thể (CB), Mai Văn Xuân, Bùi Đức Tính, Phan Văn Hòa|2010||bb|Đặt mua|Không có|
411|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Mai Văn Xuân (CB), Bùi Dũng Thể, Bùi Đức Tính (2010). Giáo trình Marketing và phân tích chuỗi cung trong nông nghiệp, NXB Đại học Huế;|Giáo trình Marketing và phân tích chuỗi cung trong nông nghiệp|Mai Văn Xuân (CB), Bùi Dũng Thể, Bùi Đức Tính|2010| NXB Đại học Huế;|bb|Đặt mua|Không có|
412|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Phùng Thị Hồng Hà (CB), Phan Văn Hòa, Hoàng Triệu Huy (2010). Giáo trình quản trị kinh doanh nông nghiệp.|Giáo trình quản trị kinh doanh nông nghiệp.|Phùng Thị Hồng Hà (CB), Phan Văn Hòa, Hoàng Triệu Huy|2010||bb|Phải nộp hoặc đặt mua|Khoa/ BM|
413|CNTY26102|Kỹ năng kinh doanh sản phẩm chăn nuôi|Tạp chí và các bản tin Chăn nuôi (Hội chăn nuôi, Hiệp hội chăn nuôi lợn Đông Nam bộ, Công ty CP, GF, ...).|Tạp chí và các bản tin Chăn nuôi (Hội chăn nuôi, Hiệp hội chăn nuôi lợn Đông Nam bộ, Công ty CP, GF, ...).||||tk|Đã có|TTTT-TV|
414|CNTY26202|Kỹ năng viết tài liệu khoa học|Bùi Văn Lợi (cb), Lê Đức Ngoan. Phương pháp tiếp cận nghiên cứu khoa học trong nông nghiệp. Nhà xuất bản ĐH Huế, năm 2016.|Phương pháp tiếp cận nghiên cứu khoa học trong nông nghiệp|Bùi Văn Lợi (cb), Lê Đức Ngoan. |2016|Nhà xuất bản ĐH Huế, năm 2016.|bb|Đã có|TTTT-TV|
415|CNTY26202|Kỹ năng viết tài liệu khoa học|Vũ Cao Đàm (2007). Giáo trình phuơng pháp luận nghiên cứu khoa học. Nhà XB giáo dục, Hà Nội. 208 tr.|Giáo trình phuơng pháp luận nghiên cứu khoa học.|Vũ Cao Đàm|2007| Nhà XB giáo dục, Hà Nội. 208 tr.|tk|Đã có|TTTT-TV|
416|CNTY26202|Kỹ năng viết tài liệu khoa học|Day, R. (2002). How to write and publish a scientific paper. 5th Ed. Cambridge University Press. Bản điện tử.|How to write and publish a scientific paper. 5th Ed. Cambridge University Press. Bản điện tử.|Day, R.|2002||tk|Đổi tài liệu|Không có|
417|CNTY26302|Kỹ thuật chăn nuôi |Bài giảng trên lớp và các tài liệu giảng viên cung cấp trong quá trình giảng dạy;|Bài giảng trên lớp và các tài liệu giảng viên cung cấp trong quá trình giảng dạy;||||bb|Đang bổ sung|Khoa/ BM|
418|CNTY26302|Kỹ thuật chăn nuôi |Giáo trình chăn nuôi đại cương. Nguyễn Đức Hưng và cộng sự, năm 2006|Giáo trình chăn nuôi đại cương|Nguyễn Đức Hưng và cộng sự|2006||bb|Đã có|TTTT-TV|
419|CNTY26302|Kỹ thuật chăn nuôi |Giáo trình chăn nuôi gia cầm, Nguyễn Đức Hưng và cộng sự, năm 2006|Giáo trình chăn nuôi gia cầm| Nguyễn Đức Hưng và cộng sự|2006||tk|Đã có|TTTT-TV|
420|CNTY26302|Kỹ thuật chăn nuôi |Giáo trình chăn nuôi lợn, Nguyễn Quang Linh và cộng sự, năm 2005|Giáo trình chăn nuôi lợn|Nguyễn Quang Linh và cộng sự|2005||tk|Đã có|TTTT-TV|Tên sách :Giáo trình kỹ thuật chăn nuôi lợn
421|CNTY26402|Một sức khỏe|Nguyễn Xuân Hòa (2019), Bài giảng một sức khỏe.|Bài giảng một sức khỏe.|Nguyễn Xuân Hòa|2019||bb|Đang bổ sung|Khoa/ BM|
422|CNTY26402|Một sức khỏe|Nguyễn Đức Hinh và Lê Thị Hương (2015), một sức khỏe trong y học dự phòng và y tế công cộng. Nhà xuất bản y học, tài liệu lưu trữ bộ môn.|một sức khỏe trong y học dự phòng và y tế công cộng.|Nguyễn Đức Hinh và Lê Thị Hương|2015|Nhà xuất bản y học|bb|Phải nộp hoặc đặt mua|Khoa/ BM|
423|CNTY26402|Một sức khỏe|Nguyễn Việt Hùng, Trần Thị Tuyết Hạnh (2016), Tiếp cận hệ sinh thái đối với sức khỏe, nhà xuất bản y học 2016, tài liệu lưu trữ bộ môn.|Tiếp cận hệ sinh thái đối với sức khỏe,|Nguyễn Việt Hùng, Trần Thị Tuyết Hạnh|2016|nhà xuất bản y học |tk|Đặt mua|Không có|
424|CNTY26502|Phúc lợi động vật|Bài giảng Phúc lợi động vật (cập nhật)|Bài giảng Phúc lợi động vật (cập nhật)||||bb|Đang bổ sung|Khoa/ BM|
425|CNTY26502|Phúc lợi động vật|Các chỉ thị của Nhà nước về bảo vệ động vật (Bộ NN&PTNT)|Các chỉ thị của Nhà nước về bảo vệ động vật|||Bộ NN&PTNT|tk|internet|internet|
426|CNTY26502|Phúc lợi động vật|Hoạt động của các tổ chức bảo vệ động vật hoang dã (WWF, Liên minh bảo vệ chó châu Á (ACPA)|Hoạt động của các tổ chức bảo vệ động vật hoang dã (WWF, Liên minh bảo vệ chó châu Á (ACPA)||||tk|Đổi tài liệu|Không có|
427|CNTY26502|Phúc lợi động vật|Website: http://www.worldanimalprotection.org/|Website: http://www.worldanimalprotection.org/||||tk|internet|internet|
428|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Trương Thanh Cảnh, 2010. Kiểm soát ô nhiễm môi trường và sử dụng kinh tế chất thải chăn nuôi, NBX Khoa học kỹ thuật. (Bộ môn KS-TN)|Kiểm soát ô nhiễm môi trường và sử dụng kinh tế chất thải chăn nuôi|Trương Thanh Cảnh,|2010|NBX Khoa học kỹ thuật. (Bộ môn KS-TN) |bb|Phải nộp hoặc đặt mua|Khoa/ BM|
429|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Nguyễn Thị Hoa Lý, Hồ Thị Kim Hoa, 2004. Môi trường và sức khỏe vật nuôi. ĐHNL TPHCM (Bộ môn KS-TN)|Môi trường và sức khỏe vật nuôi| Nguyễn Thị Hoa Lý, Hồ Thị Kim Hoa|2004|ĐHNL TPHCM (Bộ môn KS-TN)|bb|Đổi tài liệu|Không có|
430|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Bùi Hữu Đoàn, Nguyễn Xuân Trạch, Vũ Đình Tôn, 2011. Quản lý chất thải chăn nuôi, NXB Nông nghiệp. (Bộ môn KS-TN)|Quản lý chất thải chăn nuôi, NXB Nông nghiệp.|Bùi Hữu Đoàn, Nguyễn Xuân Trạch, Vũ Đình Tôn|2011| NXB Nông nghiệp. (Bộ môn KS-TN)|bb|Phải nộp hoặc đặt mua|Khoa/ BM|
431|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Lê Văn Phước và cs, 2017. Quản lý môi trường và chất thải chăn nuôi. (Bộ môn KS-TN)|Quản lý môi trường và chất thải chăn nuôi.|Lê Văn Phước và cs|2017| Bộ môn KS-TN|bb|Đang bổ sung|Khoa/ BM|
432|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |NRC (1981), Effect of environment on nutrient requirements of domestic animals, National Academy Press, Washington, DC.|Effect of environment on nutrient requirements of domestic animals, National Academy Press, Washington, DC.|NRC|1981||tk|Đã có|TTTT-TV|
433|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Curtis S. E. (1983), Environmental management in animal agriculture, The Iowa State University Press, Iowa.|Environmental management in animal agriculture, The Iowa State University Press, Iowa.| Curtis S. E. |1983||tk|Đổi tài liệu|Không có|
434|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Vũ Đình Vượng và cs, 2007. Giáo trình vệ sinh gia súc, NXB NN|Giáo trình vệ sinh gia súc|Vũ Đình Vượng và cs|2007|NXB NN|tk|Đặt mua|Không có|Vệ sinh gia súc / Trường đại học nông nghiệp 1. - Hà Nội, 1974. - 202tr. ; 17cm
435|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Trần Kiên (1968), Sinh thái học động vật, NXB Sư Phạm, Hà Nội.|Sinh thái học động vật,|Trần Kiên |1968|NXB Sư Phạm, Hà Nội.|tk|Đổi tài liệu|Không có|
436|CNTY26603|Quản lý môi trường và chất thải chăn nuôi |Nguyễn Văn Mạn và cv (2006). Sức khỏe môi trường, NXB Y học.|Sức khỏe môi trường,|Nguyễn Văn Mạn và cv|2006|NXB Y học.|tk|Đổi tài liệu|Không có|
437|CNTY26703|Sản khoa và thụ tinh nhân tạo|Phan Vũ Hải. 2013. Giáo trình sinh sản vật nuôi. NXB Đại học Huế. Huế. TT TT-TV.|Giáo trình sinh sản vật nuôi.|Phan Vũ Hải|2013|NXB Đại học Huế|bb|Đã có|TTTT-TV|
438|CNTY26703|Sản khoa và thụ tinh nhân tạo|Trần Ngọc Bích. 2014. Giáo trình Sản khoa gia súc. Nxb. Đại học Cần Thơ. Cần Thơ. TT TT-TV.|Giáo trình Sản khoa gia súc.|Trần Ngọc Bích.|2014|Nxb. Đại học Cần Thơ. Cần Thơ.|tk|Đã có|TTTT-TV|
439|CNTY26703|Sản khoa và thụ tinh nhân tạo|B. Hafez, E.S.E Hafez. 2016. Reproduction in Farm Animals, 7th Edition. NXB. Wiley-Blackwell. Truy cập online tại: http://onlinelibrary.wiley.com/book/10.1002/9781119265306.|Reproduction in Farm Animals, 7th Edition.|B. Hafez, E.S.E Hafez|2016|NXB. Wiley-Blackwell. Truy cập online tại: http://onlinelibrary.wiley.com/book/10.1002/9781119265306. |tk|internet|internet|http://onlinelibrary.wiley.com/book/10.1002/9781119265306. 
440|CNTY26703|Sản khoa và thụ tinh nhân tạo|Nguyễn, Huy Hoàng. 1999. Thụ tinh nhân tạo chăm sóc heo. NXB. TP Hồ Chí Minh. TT TT-TV.|Thụ tinh nhân tạo chăm sóc heo.|Nguyễn, Huy Hoàng.|1999|NXB. TP Hồ Chí Minh. |tk|Đã có|TTTT-TV|
441|CNTY26703|Sản khoa và thụ tinh nhân tạo|Nguyễn Tấn Anh. 2003. Thụ tinh nhân tạo cho gia súc, gia cầm. Lao động - Xã hội. TT TT-TV.|Thụ tinh nhân tạo cho gia súc, gia cầm.| Nguyễn Tấn Anh.|2003|Lao động - Xã hội.|tk|Đã có|TTTT-TV|
442|CNTY26703|Sản khoa và thụ tinh nhân tạo|Cao Đắc Đạm, Nguyễn Thuận, Nguyễn Vũ. 1993. Thụ tinh nhân tạo và sản khoa gia súc. NXB. Hà Nội. TT TT-TV.|Thụ tinh nhân tạo và sản khoa gia súc.|Cao Đắc Đạm, Nguyễn Thuận, Nguyễn Vũ. |1993|NXB. Hà Nội. |tk|Đã có|TTTT-TV|
443|CNTY26802|Thao tác cơ bản trong phòng thí nghiệm|Hồ Trung Thông (Chủ biên), Võ Thị Minh Tâm, Nguyễn Thị Khánh Quỳnh, Thái Thị Thúy, Hồ Lê Quỳnh Châu, 2016. Giáo trình Thực hành Hóa sinh Động vật. NXB Đại học Huế.|Giáo trình Thực hành Hóa sinh Động vật.|Hồ Trung Thông (Chủ biên), Võ Thị Minh Tâm, Nguyễn Thị Khánh Quỳnh, Thái Thị Thúy, Hồ Lê Quỳnh Châu, |2016|NXB Đại học Huế.|bb|Đã có|TTTT-TV|
444|CNTY26802|Thao tác cơ bản trong phòng thí nghiệm|Bộ môn Hóa khoa cơ bản, bài giảng thực hành hóa phân tích (2016). Trường Đại học Nông Lâm Huế.|bài giảng thực hành hóa phân tích|Bộ môn Hóa khoa cơ bản|2016|Trường Đại học Nông Lâm Huế.|tk|Đang bổ sung|Khoa/ BM|
445|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Nguyễn Đức Hưng (2006), Giáo trình chăn nuôi gia cầm, Nhà xuất bản Nông nghiệp, Hà Nội. TTTTTV.|Giáo trình chăn nuôi gia cầm|Nguyễn Đức Hưng|2006|Nhà xuất bản Nông nghiệp, Hà Nội.|bb|Đã có|TTTT-TV|
446|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Nguyễn Xuân Trạch (2004), Giáo trình chăn nuôi trâu bò, Nhà xuất bản Nông nghiệp, Hà Nội. TTTTTV.|Giáo trình chăn nuôi trâu bò,|Nguyễn Xuân Trạch|2004|Nhà xuất bản Nông nghiệp, Hà Nội.|bb|Đã có|TTTT-TV|TTTT-TV 2006
447|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Nguyễn Quang Linh (2005), Giáo trình kỹ thuật chăn nuôi lợn, Nhà xuất bản Nông nghiệp, Hà Nội. TTTTTV.|Giáo trình kỹ thuật chăn nuôi lợn|Nguyễn Quang Linh|2005| Nhà xuất bản Nông nghiệp, Hà Nội. |bb|Đã có|TTTT-TV|
448|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh (2007), Sổ tay thầy thuốc thú y, NXB Nông nghiệp,Hà nội. TTTTTV.|Sổ tay thầy thuốc thú y|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh |2007|NXB Nông nghiệp,Hà nội. |bb|Đã có|TTTT-TV|
