Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
1226|TNMT23202|Quản lý nguồn nước|Shahidur R.Khandker, Gayatri B. Koolwal, Hussain A. Samad, 2010, Cẩm nang đánh giá tác động các phương pháp định lượng và thực hành, Nhà xuất bản dân trí, Hà Nội|Cẩm nang đánh giá tác động các phương pháp định lượng và thực hành|Shahidur R.Khandker, Gayatri B. Koolwal, Hussain A. Samad|2010|Nhà xuất bản dân trí, Hà Nội|tk|Đã có|TTTT-TV|
1227|TNMT23202|Quản lý nguồn nước|Nguyễn Duy Quỳnh Trâm (2016), Giáo trình quản lý chất lượng nước trong nuôi trồng thủy sản, Đại học Huế, Huế.|Giáo trình quản lý chất lượng nước trong nuôi trồng thủy sản| Nguyễn Duy Quỳnh Trâm |2016|Huế|tk|Đã có|TTTT-TV|
1228|TNMT23202|Quản lý nguồn nước|Hệ thống pháp luật về tài nguyên nước trong website văn bản pháp luật của Chính phủ: http://vanban.chinhphu.vn/portal/page/portal/chinhphu/hethongvanban.|Hệ thống pháp luật về tài nguyên nước trong website văn bản pháp luật của Chính phủ||||tk|internet|internet|
1229|TNMT23202|Quản lý nguồn nước|Chu Thị Thơm, Phan Thị Lài, Nguyễn Văn Tó, (2006). Hiện tượng xói mòn đất và biện pháp phòng chống, NXB Lao động, Hà Nội.|Hiện tượng xói mòn đất và biện pháp phòng chống|Chu Thị Thơm, Phan Thị Lài, Nguyễn Văn Tó|2006|NXB Lao động, Hà Nội.|tk|Đã có|TTTT-TV|
1230|TNMT23202|Quản lý nguồn nước|Nguyễn Viết Phổ, 2000, Khai thác và bảo vệ tài nguyên nước lưu vực sông Hồng - Thái Bình, Nông nghiệp, Hà Nội.|Khai thác và bảo vệ tài nguyên nước lưu vực sông Hồng - Thái Bình, Nông nghiệp| Nguyễn Viết Phổ|2000|Hà Nội.|tk|Đổi tài liệu|Không có|
1231|TNMT23202|Quản lý nguồn nước|Nguyễn Trường Giang (2001). Luật về sử dụng các nguồn nước quốc tế. NXB Chính trị quốc gia: Hà Nội.|Luật về sử dụng các nguồn nước quốc tế.|Nguyễn Trường Giang|2001|NXB Chính trị quốc gia: Hà Nội.|tk|Đã có|TTTT-TV|
1232|TNMT23202|Quản lý nguồn nước|Dương Quốc Nõn, 2015, Nghiên cứu tình hình hạn hán phục vụ quy hoạch sử dụng đất nông nghiệp trên địa bàn tỉnh Thừa Thiên Huế, Huế.|Nghiên cứu tình hình hạn hán phục vụ quy hoạch sử dụng đất nông nghiệp trên địa bàn tỉnh Thừa Thiên Huế| Dương Quốc Nõn|2015|Huế|tk|Đặt mua|Không có|
1233|TNMT23202|Quản lý nguồn nước|Nguyễn Quang Linh, 2009, Quản lý dựa vào cộng đồng và xây dựng vùng nuôi trồng thủy sản an toàn, Nhà xuất bản Đại học Huế, Huế.|Quản lý dựa vào cộng đồng và xây dựng vùng nuôi trồng thủy sản an toàn|Nguyễn Quang Linh|2009|Nhà xuất bản Đại học Huế, Huế.|tk|Đã có|TTTT-TV|
1234|TNMT23202|Quản lý nguồn nước|Hồ Trung Thông, Lê Văn An, Tanaka Ueru, 2010, Tiếp cận phát triển nông thôn dựa vào cộng đồng, NXB Nông nghiệp.|Tiếp cận phát triển nông thôn dựa vào cộng đồng|Hồ Trung Thông, Lê Văn An, Tanaka Ueru|2010|NXB Nông nghiệp.|tk|Đã có|TTTT-TV|
1235|TNMT23202|Quản lý nguồn nước|Nguyễn Trường Giang, (2012), Ứng dụng mô hình SWAT đánh giá tiềm năng xói mòn đất vùng đồi núi tỉnh Thừa Thiên Huế, Huế|Ứng dụng mô hình SWAT đánh giá tiềm năng xói mòn đất vùng đồi núi tỉnh Thừa Thiên Huế|Nguyễn Trường Giang|2012|Huế|tk|Đã có|TTTT-TV|
1236|TNMT23202|Quản lý nguồn nước|Nguyễn Bích Ngọc, (2013), Ứng dụng mô hình SWAT để đánh giá xói mòn đất tại lưu vực sông Tả Trạch, tỉnh Thừa Thiên Huế, Huế.|Ứng dụng mô hình SWAT để đánh giá xói mòn đất tại lưu vực sông Tả Trạch, tỉnh Thừa Thiên Huế|Nguyễn Bích Ngọc|2013|Huế|tk|Đã có|TTTT-TV|
1237|TNMT23202|Quản lý nguồn nước|Đinh Xuân Bảo, 2015, Xây dựng bản đồ cảnh báo nguy cơ ngập lụt phục vụ định hướng quy hoạch sử dụng đất tại vùng hạ lưu sông Ngàn Sâu thuộc huyện Hương Khê, tỉnh Hà Tĩnh, Huế.|Xây dựng bản đồ cảnh báo nguy cơ ngập lụt phục vụ định hướng quy hoạch sử dụng đất tại vùng hạ lưu sông Ngàn Sâu thuộc huyện Hương Khê, tỉnh Hà Tĩnh|Đinh Xuân Bảo|2015|Huế|tk|Đã có|TTTT-TV|
1238|TNMT23403|Quy hoạch đô thị và khu dân cư nông thôn|Hồ Kiệt, Trần Trọng Tấn (2012), Giáo trình Quy hoạch đô thị và Khu dân cư nông thôn, Nxb Nông nghiệp, Hà Nội.|Giáo trình Quy hoạch đô thị và Khu dân cư nông thôn|Hồ Kiệt, Trần Trọng Tấn |2012|Nxb Nông nghiệp, Hà Nội. |bb|Đã có|TTTT-TV|
1239|TNMT23403|Quy hoạch đô thị và khu dân cư nông thôn|Đàm Trung Phường (2005), Đô thị Việt Nam, Nhà xuất bản Xây dựng, Hà Nội.|Đô thị Việt Nam|Đàm Trung Phường|2005| Nhà xuất bản Xây dựng, Hà Nội.|tk|Đổi tài liệu|Không có|
1240|TNMT23403|Quy hoạch đô thị và khu dân cư nông thôn|Hàn Tất Ngạn (1999), Kiến trúc cảnh quan, Nhà xuất bản Xây dựng, Hà Nội.|Kiến trúc cảnh quan|Hàn Tất Ngạn|1999| Nhà xuất bản Xây dựng, Hà Nội.|tk|Đã có|TTTT-TV|2014
1241|TNMT23403|Quy hoạch đô thị và khu dân cư nông thôn|Bộ Xây dựng (2008), Tiêu chuẩn Việt Nam về Quy hoạch xây dựng, Nhà xuất bản Xây dựng, Hà Nội.|Tiêu chuẩn Việt Nam về Quy hoạch xây dựng|Bộ Xây dựng|2008| Nhà xuất bản Xây dựng, Hà Nội.|tk|internet|internet|
1242|TNMT23604|Quy hoạch sử dụng đất|Nguyễn Thị Hải (2016), Bài giảng Quy hoạch sử dụng đất, Trường Đại học Nông Lâm Huế.|Bài giảng Quy hoạch sử dụng đất|Nguyễn Thị Hải|2016|Trường Đại học Nông Lâm Huế.|bb|Đang bổ sung|Khoa/ BM|
1243|TNMT23604|Quy hoạch sử dụng đất|Nguyễn Hữu Ngữ, Nguyễn Thị Hải (2013), Giáo trình Quy hoạch sử dụng đất, NXB Nông Nghiệp.|Giáo trình Quy hoạch sử dụng đất|Nguyễn Hữu Ngữ, Nguyễn Thị Hải|2013|NXB Nông nghiệp.|bb|Đã có|TTTT-TV|
1244|TNMT23604|Quy hoạch sử dụng đất|Hồ Kiệt, Trần Trọng Tấn (2012), Giáo trình Quy hoạch đô thị và khu dân cư nông thôn, NXB Nông Nghiệp.|Giáo trình Quy hoạch đô thị và khu dân cư nông thôn|Hồ Kiệt, Trần Trọng Tấn |2012|NXB Nông nghiệp.|tk|Đã có|TTTT-TV|
1245|TNMT23604|Quy hoạch sử dụng đất|Nguyễn Hữu Ngữ, Lê Minh Khôi (2012), Giáo trình Quy hoạch tổng thể, NXB Đại học Huế.|Giáo trình Quy hoạch tổng thể|Nguyễn Hữu Ngữ, Lê Minh Khôi|2012|NXB Đại học Huế.|tk|Đã có|TTTT-TV|
1246|TNMT23604|Quy hoạch sử dụng đất|Bộ Tài nguyên và Môi trường (2014), Thông tư 29/2014/BTMMT quy định về trình tự, nội dung lập và điều chỉnh quy hoạch sử dụng đất.|Thông tư 29/2014/BTMMT quy định về trình tự, nội dung lập và điều chỉnh quy hoạch sử dụng đất.|Bộ Tài nguyên và Môi trường |2014||tk|internet|internet|
1247|TNMT23704|Quy hoạch tổng thể|Nguyễn Hữu Ngữ và Lê Minh Khôi, 2013. Giáo trình Quy hoạch tổng thể. Nhà xuất bản Đại học Huế|Giáo trình Quy hoạch tổng thể.|Nguyễn Hữu Ngữ, Lê Minh Khôi|2013|Nhà xuất bản Đại học Huế|bb|Đã có|TTTT-TV|
